n_element = 1000 , t_a_compute = 0.000028 seconds, bandwidth = 71.306332 GBytes/s, performance = 25.670280 GFlop/s, t_j_init = 0.000001 , t_j_init_copy = 0.000008 , t_a_init_copy = 0.000004 , t_j_end_copy = 0.000007 , t_a_end_copy = 0.000004
n_element = 1100 , t_a_compute = 0.000033 seconds, bandwidth = 67.447422 GBytes/s, performance = 24.281072 GFlop/s, t_j_init = 0.000001 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 1210 , t_a_compute = 0.000030 seconds, bandwidth = 79.657670 GBytes/s, performance = 28.676761 GFlop/s, t_j_init = 0.000001 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 1331 , t_a_compute = 0.000032 seconds, bandwidth = 82.221399 GBytes/s, performance = 29.599703 GFlop/s, t_j_init = 0.000002 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 1464 , t_a_compute = 0.000034 seconds, bandwidth = 85.103909 GBytes/s, performance = 30.637407 GFlop/s, t_j_init = 0.000002 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 1610 , t_a_compute = 0.000038 seconds, bandwidth = 85.020991 GBytes/s, performance = 30.607557 GFlop/s, t_j_init = 0.000002 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 1771 , t_a_compute = 0.000040 seconds, bandwidth = 89.498686 GBytes/s, performance = 32.219527 GFlop/s, t_j_init = 0.000002 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 1948 , t_a_compute = 0.000042 seconds, bandwidth = 91.956193 GBytes/s, performance = 33.104230 GFlop/s, t_j_init = 0.000002 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 2142 , t_a_compute = 0.000046 seconds, bandwidth = 92.936480 GBytes/s, performance = 33.457133 GFlop/s, t_j_init = 0.000003 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 2356 , t_a_compute = 0.000049 seconds, bandwidth = 96.966704 GBytes/s, performance = 34.908013 GFlop/s, t_j_init = 0.000003 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 2591 , t_a_compute = 0.000054 seconds, bandwidth = 96.594404 GBytes/s, performance = 34.773985 GFlop/s, t_j_init = 0.000003 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 2850 , t_a_compute = 0.000058 seconds, bandwidth = 98.179375 GBytes/s, performance = 35.344575 GFlop/s, t_j_init = 0.000003 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 3135 , t_a_compute = 0.000063 seconds, bandwidth = 100.241411 GBytes/s, performance = 36.086908 GFlop/s, t_j_init = 0.000004 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 3448 , t_a_compute = 0.000068 seconds, bandwidth = 100.821661 GBytes/s, performance = 36.295798 GFlop/s, t_j_init = 0.000004 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 3792 , t_a_compute = 0.000073 seconds, bandwidth = 103.276411 GBytes/s, performance = 37.179508 GFlop/s, t_j_init = 0.000005 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 4171 , t_a_compute = 0.000073 seconds, bandwidth = 114.498264 GBytes/s, performance = 41.219375 GFlop/s, t_j_init = 0.000005 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 4588 , t_a_compute = 0.000078 seconds, bandwidth = 117.509957 GBytes/s, performance = 42.303584 GFlop/s, t_j_init = 0.000007 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 5046 , t_a_compute = 0.000085 seconds, bandwidth = 119.400866 GBytes/s, performance = 42.984312 GFlop/s, t_j_init = 0.000011 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 5550 , t_a_compute = 0.000090 seconds, bandwidth = 122.869161 GBytes/s, performance = 44.232898 GFlop/s, t_j_init = 0.000008 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000001 , t_a_end_copy = 0.000000
n_element = 6105 , t_a_compute = 0.000096 seconds, bandwidth = 126.579654 GBytes/s, performance = 45.568675 GFlop/s, t_j_init = 0.000009 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000001 , t_a_end_copy = 0.000000
n_element = 6715 , t_a_compute = 0.000105 seconds, bandwidth = 128.057211 GBytes/s, performance = 46.100596 GFlop/s, t_j_init = 0.000011 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 7386 , t_a_compute = 0.000113 seconds, bandwidth = 130.285230 GBytes/s, performance = 46.902683 GFlop/s, t_j_init = 0.000012 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 8124 , t_a_compute = 0.000122 seconds, bandwidth = 133.667887 GBytes/s, performance = 48.120439 GFlop/s, t_j_init = 0.000014 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 8936 , t_a_compute = 0.000135 seconds, bandwidth = 132.673135 GBytes/s, performance = 47.762329 GFlop/s, t_j_init = 0.000016 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 9829 , t_a_compute = 0.000139 seconds, bandwidth = 140.931706 GBytes/s, performance = 50.735414 GFlop/s, t_j_init = 0.000019 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 10811 , t_a_compute = 0.000151 seconds, bandwidth = 143.335388 GBytes/s, performance = 51.600740 GFlop/s, t_j_init = 0.000021 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 11892 , t_a_compute = 0.000160 seconds, bandwidth = 148.256194 GBytes/s, performance = 53.372230 GFlop/s, t_j_init = 0.000024 , t_j_init_copy = 0.000001 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000001
n_element = 13081 , t_a_compute = 0.000174 seconds, bandwidth = 150.434998 GBytes/s, performance = 54.156599 GFlop/s, t_j_init = 0.000027 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 14389 , t_a_compute = 0.000252 seconds, bandwidth = 114.084328 GBytes/s, performance = 41.070358 GFlop/s, t_j_init = 0.000032 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 15827 , t_a_compute = 0.000297 seconds, bandwidth = 106.574819 GBytes/s, performance = 38.366935 GFlop/s, t_j_init = 0.000043 , t_j_init_copy = 0.000001 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 17409 , t_a_compute = 0.000304 seconds, bandwidth = 114.351212 GBytes/s, performance = 41.166436 GFlop/s, t_j_init = 0.000059 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 19149 , t_a_compute = 0.000329 seconds, bandwidth = 116.331980 GBytes/s, performance = 41.879513 GFlop/s, t_j_init = 0.000053 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 21063 , t_a_compute = 0.000369 seconds, bandwidth = 114.260451 GBytes/s, performance = 41.133762 GFlop/s, t_j_init = 0.000056 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
