n_element = 1000 , t_a_compute = 0.000026 seconds, bandwidth = 38.491147 GBytes/s, performance = 27.713626 GFlop/s, t_j_init = 0.000001 , t_j_init_copy = 0.000007 , t_a_init_copy = 0.000006 , t_j_end_copy = 0.000004 , t_a_end_copy = 0.000006
n_element = 1100 , t_a_compute = 0.000027 seconds, bandwidth = 41.269603 GBytes/s, performance = 29.714114 GFlop/s, t_j_init = 0.000001 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 1210 , t_a_compute = 0.000028 seconds, bandwidth = 43.436120 GBytes/s, performance = 31.274007 GFlop/s, t_j_init = 0.000001 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 1331 , t_a_compute = 0.000030 seconds, bandwidth = 44.704934 GBytes/s, performance = 32.187552 GFlop/s, t_j_init = 0.000001 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 1464 , t_a_compute = 0.000031 seconds, bandwidth = 46.804565 GBytes/s, performance = 33.699287 GFlop/s, t_j_init = 0.000001 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 1610 , t_a_compute = 0.000034 seconds, bandwidth = 47.787243 GBytes/s, performance = 34.406815 GFlop/s, t_j_init = 0.000001 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 1771 , t_a_compute = 0.000036 seconds, bandwidth = 49.537076 GBytes/s, performance = 35.666695 GFlop/s, t_j_init = 0.000001 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 1948 , t_a_compute = 0.000037 seconds, bandwidth = 52.142723 GBytes/s, performance = 37.542761 GFlop/s, t_j_init = 0.000001 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 2142 , t_a_compute = 0.000040 seconds, bandwidth = 53.194924 GBytes/s, performance = 38.300345 GFlop/s, t_j_init = 0.000002 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 2356 , t_a_compute = 0.000043 seconds, bandwidth = 54.836607 GBytes/s, performance = 39.482357 GFlop/s, t_j_init = 0.000002 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 2591 , t_a_compute = 0.000046 seconds, bandwidth = 56.383696 GBytes/s, performance = 40.596261 GFlop/s, t_j_init = 0.000002 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 2850 , t_a_compute = 0.000049 seconds, bandwidth = 57.991657 GBytes/s, performance = 41.753993 GFlop/s, t_j_init = 0.000002 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 3135 , t_a_compute = 0.000174 seconds, bandwidth = 17.982723 GBytes/s, performance = 12.947560 GFlop/s, t_j_init = 0.000002 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000001 , t_a_end_copy = 0.000000
n_element = 3448 , t_a_compute = 0.000237 seconds, bandwidth = 14.547725 GBytes/s, performance = 10.474362 GFlop/s, t_j_init = 0.000010 , t_j_init_copy = 0.000001 , t_a_init_copy = 0.000001 , t_j_end_copy = 0.000001 , t_a_end_copy = 0.000001
n_element = 3792 , t_a_compute = 0.000252 seconds, bandwidth = 15.018238 GBytes/s, performance = 10.813131 GFlop/s, t_j_init = 0.000011 , t_j_init_copy = 0.000001 , t_a_init_copy = 0.000001 , t_j_end_copy = 0.000001 , t_a_end_copy = 0.000000
n_element = 4171 , t_a_compute = 0.000285 seconds, bandwidth = 14.621595 GBytes/s, performance = 10.527548 GFlop/s, t_j_init = 0.000012 , t_j_init_copy = 0.000001 , t_a_init_copy = 0.000001 , t_j_end_copy = 0.000001 , t_a_end_copy = 0.000000
n_element = 4588 , t_a_compute = 0.000536 seconds, bandwidth = 8.555089 GBytes/s, performance = 6.159664 GFlop/s, t_j_init = 0.000014 , t_j_init_copy = 0.000001 , t_a_init_copy = 0.000001 , t_j_end_copy = 0.000001 , t_a_end_copy = 0.000000
n_element = 5046 , t_a_compute = 0.000433 seconds, bandwidth = 11.643630 GBytes/s, performance = 8.383414 GFlop/s, t_j_init = 0.000015 , t_j_init_copy = 0.000001 , t_a_init_copy = 0.000001 , t_j_end_copy = 0.000001 , t_a_end_copy = 0.000000
n_element = 5550 , t_a_compute = 0.000375 seconds, bandwidth = 14.800908 GBytes/s, performance = 10.656654 GFlop/s, t_j_init = 0.000016 , t_j_init_copy = 0.000001 , t_a_init_copy = 0.000001 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 6105 , t_a_compute = 0.000132 seconds, bandwidth = 46.390225 GBytes/s, performance = 33.400962 GFlop/s, t_j_init = 0.000006 , t_j_init_copy = 0.000001 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 6715 , t_a_compute = 0.000155 seconds, bandwidth = 43.362866 GBytes/s, performance = 31.221264 GFlop/s, t_j_init = 0.000005 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 7386 , t_a_compute = 0.000160 seconds, bandwidth = 46.281965 GBytes/s, performance = 33.323015 GFlop/s, t_j_init = 0.000006 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 8124 , t_a_compute = 0.000162 seconds, bandwidth = 50.290016 GBytes/s, performance = 36.208811 GFlop/s, t_j_init = 0.000006 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 8936 , t_a_compute = 0.000180 seconds, bandwidth = 49.667071 GBytes/s, performance = 35.760291 GFlop/s, t_j_init = 0.000007 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 9829 , t_a_compute = 0.000196 seconds, bandwidth = 50.095819 GBytes/s, performance = 36.068989 GFlop/s, t_j_init = 0.000008 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 10811 , t_a_compute = 0.000211 seconds, bandwidth = 51.212210 GBytes/s, performance = 36.872791 GFlop/s, t_j_init = 0.000009 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 11892 , t_a_compute = 0.000232 seconds, bandwidth = 51.301962 GBytes/s, performance = 36.937413 GFlop/s, t_j_init = 0.000010 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 13081 , t_a_compute = 0.000252 seconds, bandwidth = 52.009860 GBytes/s, performance = 37.447100 GFlop/s, t_j_init = 0.000012 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 14389 , t_a_compute = 0.000285 seconds, bandwidth = 50.423496 GBytes/s, performance = 36.304917 GFlop/s, t_j_init = 0.000013 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 15827 , t_a_compute = 0.000308 seconds, bandwidth = 51.467408 GBytes/s, performance = 37.056534 GFlop/s, t_j_init = 0.000015 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 17409 , t_a_compute = 0.000336 seconds, bandwidth = 51.887706 GBytes/s, performance = 37.359149 GFlop/s, t_j_init = 0.000016 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 19149 , t_a_compute = 0.000363 seconds, bandwidth = 52.755263 GBytes/s, performance = 37.983790 GFlop/s, t_j_init = 0.000018 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
