n_element = 1000 , t_a_compute = 0.001595 seconds, bandwidth = 0.627133 GBytes/s, performance = 0.451536 GFlop/s, t_j_init = 0.000011 , t_j_init_copy = 0.000024 , t_a_init_copy = 0.000023 , t_j_end_copy = 0.000015 , t_a_end_copy = 0.000024
n_element = 1100 , t_a_compute = 0.001747 seconds, bandwidth = 0.629703 GBytes/s, performance = 0.453386 GFlop/s, t_j_init = 0.000013 , t_j_init_copy = 0.000001 , t_a_init_copy = 0.000001 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 1210 , t_a_compute = 0.000556 seconds, bandwidth = 2.176181 GBytes/s, performance = 1.566850 GFlop/s, t_j_init = 0.000003 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 1331 , t_a_compute = 0.000632 seconds, bandwidth = 2.104834 GBytes/s, performance = 1.515480 GFlop/s, t_j_init = 0.000004 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 1464 , t_a_compute = 0.000564 seconds, bandwidth = 2.594558 GBytes/s, performance = 1.868082 GFlop/s, t_j_init = 0.000004 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 1610 , t_a_compute = 0.000794 seconds, bandwidth = 2.027601 GBytes/s, performance = 1.459872 GFlop/s, t_j_init = 0.000004 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 1771 , t_a_compute = 0.000864 seconds, bandwidth = 2.048917 GBytes/s, performance = 1.475220 GFlop/s, t_j_init = 0.000005 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 1948 , t_a_compute = 0.000208 seconds, bandwidth = 9.371918 GBytes/s, performance = 6.747781 GFlop/s, t_j_init = 0.000006 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 2142 , t_a_compute = 0.000377 seconds, bandwidth = 5.687898 GBytes/s, performance = 4.095287 GFlop/s, t_j_init = 0.000006 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 2356 , t_a_compute = 0.000224 seconds, bandwidth = 10.499623 GBytes/s, performance = 7.559729 GFlop/s, t_j_init = 0.000007 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 2591 , t_a_compute = 0.000437 seconds, bandwidth = 5.934766 GBytes/s, performance = 4.273031 GFlop/s, t_j_init = 0.000007 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
