n_element = 1000 , t_a_compute = 0.000123 seconds, bandwidth = 8.116554 GBytes/s, performance = 5.843919 GFlop/s, t_j_init = 0.000003 , t_j_init_copy = 0.000025 , t_a_init_copy = 0.000023 , t_j_end_copy = 0.000014 , t_a_end_copy = 0.000024
n_element = 1100 , t_a_compute = 0.000138 seconds, bandwidth = 7.967089 GBytes/s, performance = 5.736304 GFlop/s, t_j_init = 0.000003 , t_j_init_copy = 0.000001 , t_a_init_copy = 0.000001 , t_j_end_copy = 0.000001 , t_a_end_copy = 0.000001
n_element = 1210 , t_a_compute = 0.000142 seconds, bandwidth = 8.550512 GBytes/s, performance = 6.156368 GFlop/s, t_j_init = 0.000004 , t_j_init_copy = 0.000001 , t_a_init_copy = 0.000001 , t_j_end_copy = 0.000001 , t_a_end_copy = 0.000000
n_element = 1331 , t_a_compute = 0.000150 seconds, bandwidth = 8.894621 GBytes/s, performance = 6.404127 GFlop/s, t_j_init = 0.000004 , t_j_init_copy = 0.000001 , t_a_init_copy = 0.000001 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 1464 , t_a_compute = 0.000159 seconds, bandwidth = 9.182368 GBytes/s, performance = 6.611305 GFlop/s, t_j_init = 0.000004 , t_j_init_copy = 0.000001 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 1610 , t_a_compute = 0.000172 seconds, bandwidth = 9.366673 GBytes/s, performance = 6.744005 GFlop/s, t_j_init = 0.000005 , t_j_init_copy = 0.000001 , t_a_init_copy = 0.000001 , t_j_end_copy = 0.000001 , t_a_end_copy = 0.000000
n_element = 1771 , t_a_compute = 0.000189 seconds, bandwidth = 9.389547 GBytes/s, performance = 6.760474 GFlop/s, t_j_init = 0.000005 , t_j_init_copy = 0.000001 , t_a_init_copy = 0.000001 , t_j_end_copy = 0.000001 , t_a_end_copy = 0.000000
n_element = 1948 , t_a_compute = 0.000194 seconds, bandwidth = 10.034513 GBytes/s, performance = 7.224849 GFlop/s, t_j_init = 0.000006 , t_j_init_copy = 0.000001 , t_a_init_copy = 0.000001 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 2142 , t_a_compute = 0.000214 seconds, bandwidth = 10.029170 GBytes/s, performance = 7.221002 GFlop/s, t_j_init = 0.000007 , t_j_init_copy = 0.000001 , t_a_init_copy = 0.000001 , t_j_end_copy = 0.000001 , t_a_end_copy = 0.000001
n_element = 2356 , t_a_compute = 0.000238 seconds, bandwidth = 9.908402 GBytes/s, performance = 7.134049 GFlop/s, t_j_init = 0.000007 , t_j_init_copy = 0.000001 , t_a_init_copy = 0.000001 , t_j_end_copy = 0.000001 , t_a_end_copy = 0.000001
n_element = 2591 , t_a_compute = 0.000362 seconds, bandwidth = 7.147941 GBytes/s, performance = 5.146518 GFlop/s, t_j_init = 0.000008 , t_j_init_copy = 0.000001 , t_a_init_copy = 0.000001 , t_j_end_copy = 0.000001 , t_a_end_copy = 0.000001
n_element = 2850 , t_a_compute = 0.000285 seconds, bandwidth = 9.986404 GBytes/s, performance = 7.190211 GFlop/s, t_j_init = 0.000009 , t_j_init_copy = 0.000001 , t_a_init_copy = 0.000001 , t_j_end_copy = 0.000001 , t_a_end_copy = 0.000001
n_element = 3135 , t_a_compute = 0.000191 seconds, bandwidth = 16.450130 GBytes/s, performance = 11.844094 GFlop/s, t_j_init = 0.000011 , t_j_init_copy = 0.000001 , t_a_init_copy = 0.000001 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 3448 , t_a_compute = 0.000082 seconds, bandwidth = 41.890923 GBytes/s, performance = 30.161465 GFlop/s, t_j_init = 0.000003 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 3792 , t_a_compute = 0.000086 seconds, bandwidth = 44.255637 GBytes/s, performance = 31.864059 GFlop/s, t_j_init = 0.000003 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 4171 , t_a_compute = 0.000092 seconds, bandwidth = 45.459995 GBytes/s, performance = 32.731196 GFlop/s, t_j_init = 0.000003 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 4588 , t_a_compute = 0.000099 seconds, bandwidth = 46.464524 GBytes/s, performance = 33.454457 GFlop/s, t_j_init = 0.000004 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 5046 , t_a_compute = 0.000110 seconds, bandwidth = 46.001532 GBytes/s, performance = 33.121103 GFlop/s, t_j_init = 0.000004 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 5550 , t_a_compute = 0.000117 seconds, bandwidth = 47.310948 GBytes/s, performance = 34.063883 GFlop/s, t_j_init = 0.000004 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 6105 , t_a_compute = 0.000128 seconds, bandwidth = 47.658080 GBytes/s, performance = 34.313817 GFlop/s, t_j_init = 0.000005 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 6715 , t_a_compute = 0.000138 seconds, bandwidth = 48.561945 GBytes/s, performance = 34.964600 GFlop/s, t_j_init = 0.000005 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 7386 , t_a_compute = 0.000153 seconds, bandwidth = 48.270408 GBytes/s, performance = 34.754694 GFlop/s, t_j_init = 0.000006 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 8124 , t_a_compute = 0.000168 seconds, bandwidth = 48.379317 GBytes/s, performance = 34.833108 GFlop/s, t_j_init = 0.000006 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 8936 , t_a_compute = 0.000183 seconds, bandwidth = 48.848218 GBytes/s, performance = 35.170717 GFlop/s, t_j_init = 0.000007 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 9829 , t_a_compute = 0.000196 seconds, bandwidth = 50.026721 GBytes/s, performance = 36.019239 GFlop/s, t_j_init = 0.000008 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 10811 , t_a_compute = 0.000216 seconds, bandwidth = 49.982431 GBytes/s, performance = 35.987351 GFlop/s, t_j_init = 0.000009 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
n_element = 11892 , t_a_compute = 0.000229 seconds, bandwidth = 51.890024 GBytes/s, performance = 37.360817 GFlop/s, t_j_init = 0.000010 , t_j_init_copy = 0.000000 , t_a_init_copy = 0.000000 , t_j_end_copy = 0.000000 , t_a_end_copy = 0.000000
