n_element = 1000 , t_a_compute = 0.000084 seconds, bandwidth = 11.921367 GBytes/s, performance = 8.583384 GFlop/s, t_j_init = 0.000003 , t_j_init_copy = 0.000016 , t_a_init_copy = 0.000019 , t_j_end_copy = 0.000020 , t_a_end_copy = 0.000016
n_element = 1100 , t_a_compute = 0.000065 seconds, bandwidth = 17.026282 GBytes/s, performance = 12.258923 GFlop/s, t_j_init = 0.000003 , t_j_init_copy = 0.000012 , t_a_init_copy = 0.000015 , t_j_end_copy = 0.000012 , t_a_end_copy = 0.000017
n_element = 1210 , t_a_compute = 0.000065 seconds, bandwidth = 18.742546 GBytes/s, performance = 13.494633 GFlop/s, t_j_init = 0.000003 , t_j_init_copy = 0.000012 , t_a_init_copy = 0.000014 , t_j_end_copy = 0.000012 , t_a_end_copy = 0.000018
n_element = 1331 , t_a_compute = 0.000064 seconds, bandwidth = 20.704997 GBytes/s, performance = 14.907598 GFlop/s, t_j_init = 0.000003 , t_j_init_copy = 0.000012 , t_a_init_copy = 0.000016 , t_j_end_copy = 0.000013 , t_a_end_copy = 0.000018
n_element = 1464 , t_a_compute = 0.000064 seconds, bandwidth = 22.911874 GBytes/s, performance = 16.496549 GFlop/s, t_j_init = 0.000004 , t_j_init_copy = 0.000013 , t_a_init_copy = 0.000017 , t_j_end_copy = 0.000014 , t_a_end_copy = 0.000020
n_element = 1610 , t_a_compute = 0.000065 seconds, bandwidth = 24.715617 GBytes/s, performance = 17.795244 GFlop/s, t_j_init = 0.000004 , t_j_init_copy = 0.000014 , t_a_init_copy = 0.000017 , t_j_end_copy = 0.000015 , t_a_end_copy = 0.000021
n_element = 1771 , t_a_compute = 0.000065 seconds, bandwidth = 27.310438 GBytes/s, performance = 19.663516 GFlop/s, t_j_init = 0.000004 , t_j_init_copy = 0.000016 , t_a_init_copy = 0.000019 , t_j_end_copy = 0.000016 , t_a_end_copy = 0.000023
n_element = 1948 , t_a_compute = 0.000064 seconds, bandwidth = 30.338426 GBytes/s, performance = 21.843667 GFlop/s, t_j_init = 0.000005 , t_j_init_copy = 0.000014 , t_a_init_copy = 0.000019 , t_j_end_copy = 0.000016 , t_a_end_copy = 0.000024
n_element = 2142 , t_a_compute = 0.000064 seconds, bandwidth = 33.255706 GBytes/s, performance = 23.944108 GFlop/s, t_j_init = 0.000005 , t_j_init_copy = 0.000014 , t_a_init_copy = 0.000021 , t_j_end_copy = 0.000018 , t_a_end_copy = 0.000026
n_element = 2356 , t_a_compute = 0.000065 seconds, bandwidth = 36.407467 GBytes/s, performance = 26.213376 GFlop/s, t_j_init = 0.000006 , t_j_init_copy = 0.000016 , t_a_init_copy = 0.000023 , t_j_end_copy = 0.000018 , t_a_end_copy = 0.000028
n_element = 2591 , t_a_compute = 0.000066 seconds, bandwidth = 39.271856 GBytes/s, performance = 28.275737 GFlop/s, t_j_init = 0.000007 , t_j_init_copy = 0.000017 , t_a_init_copy = 0.000023 , t_j_end_copy = 0.000020 , t_a_end_copy = 0.000030
n_element = 2850 , t_a_compute = 0.000066 seconds, bandwidth = 43.284126 GBytes/s, performance = 31.164571 GFlop/s, t_j_init = 0.000007 , t_j_init_copy = 0.000018 , t_a_init_copy = 0.000026 , t_j_end_copy = 0.000021 , t_a_end_copy = 0.000033
n_element = 3135 , t_a_compute = 0.000066 seconds, bandwidth = 47.220256 GBytes/s, performance = 33.998584 GFlop/s, t_j_init = 0.000008 , t_j_init_copy = 0.000019 , t_a_init_copy = 0.000028 , t_j_end_copy = 0.000023 , t_a_end_copy = 0.000036
n_element = 3448 , t_a_compute = 0.000066 seconds, bandwidth = 51.944139 GBytes/s, performance = 37.399780 GFlop/s, t_j_init = 0.000009 , t_j_init_copy = 0.000020 , t_a_init_copy = 0.000030 , t_j_end_copy = 0.000024 , t_a_end_copy = 0.000038
n_element = 3792 , t_a_compute = 0.000065 seconds, bandwidth = 57.928506 GBytes/s, performance = 41.708524 GFlop/s, t_j_init = 0.000008 , t_j_init_copy = 0.000022 , t_a_init_copy = 0.000032 , t_j_end_copy = 0.000027 , t_a_end_copy = 0.000042
n_element = 4171 , t_a_compute = 0.000070 seconds, bandwidth = 59.253892 GBytes/s, performance = 42.662803 GFlop/s, t_j_init = 0.000011 , t_j_init_copy = 0.000022 , t_a_init_copy = 0.000035 , t_j_end_copy = 0.000029 , t_a_end_copy = 0.000046
n_element = 4588 , t_a_compute = 0.000072 seconds, bandwidth = 63.648849 GBytes/s, performance = 45.827171 GFlop/s, t_j_init = 0.000012 , t_j_init_copy = 0.000025 , t_a_init_copy = 0.000037 , t_j_end_copy = 0.000031 , t_a_end_copy = 0.000049
n_element = 5046 , t_a_compute = 0.000074 seconds, bandwidth = 68.554194 GBytes/s, performance = 49.359020 GFlop/s, t_j_init = 0.000013 , t_j_init_copy = 0.000028 , t_a_init_copy = 0.000041 , t_j_end_copy = 0.000034 , t_a_end_copy = 0.000053
n_element = 5550 , t_a_compute = 0.000074 seconds, bandwidth = 74.672048 GBytes/s, performance = 53.763875 GFlop/s, t_j_init = 0.000014 , t_j_init_copy = 0.000030 , t_a_init_copy = 0.000044 , t_j_end_copy = 0.000037 , t_a_end_copy = 0.000058
n_element = 6105 , t_a_compute = 0.000074 seconds, bandwidth = 82.728061 GBytes/s, performance = 59.564204 GFlop/s, t_j_init = 0.000016 , t_j_init_copy = 0.000032 , t_a_init_copy = 0.000049 , t_j_end_copy = 0.000039 , t_a_end_copy = 0.000063
n_element = 6715 , t_a_compute = 0.000076 seconds, bandwidth = 88.371542 GBytes/s, performance = 63.627510 GFlop/s, t_j_init = 0.000017 , t_j_init_copy = 0.000035 , t_a_init_copy = 0.000053 , t_j_end_copy = 0.000042 , t_a_end_copy = 0.000069
n_element = 7386 , t_a_compute = 0.000077 seconds, bandwidth = 96.328660 GBytes/s, performance = 69.356635 GFlop/s, t_j_init = 0.000019 , t_j_init_copy = 0.000037 , t_a_init_copy = 0.000058 , t_j_end_copy = 0.000046 , t_a_end_copy = 0.000076
n_element = 8124 , t_a_compute = 0.000077 seconds, bandwidth = 106.176647 GBytes/s, performance = 76.447186 GFlop/s, t_j_init = 0.000022 , t_j_init_copy = 0.000040 , t_a_init_copy = 0.000063 , t_j_end_copy = 0.000049 , t_a_end_copy = 0.000081
n_element = 8936 , t_a_compute = 0.000078 seconds, bandwidth = 114.528863 GBytes/s, performance = 82.460781 GFlop/s, t_j_init = 0.000025 , t_j_init_copy = 0.000044 , t_a_init_copy = 0.000070 , t_j_end_copy = 0.000054 , t_a_end_copy = 0.000088
n_element = 9829 , t_a_compute = 0.000080 seconds, bandwidth = 123.229107 GBytes/s, performance = 88.724957 GFlop/s, t_j_init = 0.000026 , t_j_init_copy = 0.000047 , t_a_init_copy = 0.000076 , t_j_end_copy = 0.000059 , t_a_end_copy = 0.000095
n_element = 10811 , t_a_compute = 0.000082 seconds, bandwidth = 131.211011 GBytes/s, performance = 94.471928 GFlop/s, t_j_init = 0.000029 , t_j_init_copy = 0.000052 , t_a_init_copy = 0.000084 , t_j_end_copy = 0.000063 , t_a_end_copy = 0.000104
n_element = 11892 , t_a_compute = 0.000082 seconds, bandwidth = 144.574798 GBytes/s, performance = 104.093854 GFlop/s, t_j_init = 0.000033 , t_j_init_copy = 0.000056 , t_a_init_copy = 0.000091 , t_j_end_copy = 0.000068 , t_a_end_copy = 0.000113
n_element = 13081 , t_a_compute = 0.000087 seconds, bandwidth = 150.090644 GBytes/s, performance = 108.065264 GFlop/s, t_j_init = 0.000035 , t_j_init_copy = 0.000059 , t_a_init_copy = 0.000101 , t_j_end_copy = 0.000075 , t_a_end_copy = 0.000123
n_element = 14389 , t_a_compute = 0.000089 seconds, bandwidth = 161.519897 GBytes/s, performance = 116.294326 GFlop/s, t_j_init = 0.000039 , t_j_init_copy = 0.000066 , t_a_init_copy = 0.000113 , t_j_end_copy = 0.000081 , t_a_end_copy = 0.000135
n_element = 15827 , t_a_compute = 0.000091 seconds, bandwidth = 173.313622 GBytes/s, performance = 124.785808 GFlop/s, t_j_init = 0.000042 , t_j_init_copy = 0.000071 , t_a_init_copy = 0.000156 , t_j_end_copy = 0.000088 , t_a_end_copy = 0.000147
n_element = 17409 , t_a_compute = 0.000094 seconds, bandwidth = 185.338174 GBytes/s, performance = 133.443485 GFlop/s, t_j_init = 0.000053 , t_j_init_copy = 0.000078 , t_a_init_copy = 0.000137 , t_j_end_copy = 0.000095 , t_a_end_copy = 0.000159
n_element = 19149 , t_a_compute = 0.000097 seconds, bandwidth = 196.492704 GBytes/s, performance = 141.474747 GFlop/s, t_j_init = 0.000052 , t_j_init_copy = 0.000084 , t_a_init_copy = 0.000148 , t_j_end_copy = 0.000103 , t_a_end_copy = 0.000165
n_element = 21063 , t_a_compute = 0.000102 seconds, bandwidth = 207.217134 GBytes/s, performance = 149.196336 GFlop/s, t_j_init = 0.000057 , t_j_init_copy = 0.000091 , t_a_init_copy = 0.000160 , t_j_end_copy = 0.000113 , t_a_end_copy = 0.000173
n_element = 23169 , t_a_compute = 0.000104 seconds, bandwidth = 222.127415 GBytes/s, performance = 159.931739 GFlop/s, t_j_init = 0.000060 , t_j_init_copy = 0.000099 , t_a_init_copy = 0.000172 , t_j_end_copy = 0.000123 , t_a_end_copy = 0.000183
n_element = 25485 , t_a_compute = 0.000109 seconds, bandwidth = 233.867415 GBytes/s, performance = 168.384539 GFlop/s, t_j_init = 0.000070 , t_j_init_copy = 0.000109 , t_a_init_copy = 0.000189 , t_j_end_copy = 0.000157 , t_a_end_copy = 0.000201
n_element = 28033 , t_a_compute = 0.000111 seconds, bandwidth = 252.816031 GBytes/s, performance = 182.027543 GFlop/s, t_j_init = 0.000074 , t_j_init_copy = 0.000119 , t_a_init_copy = 0.000204 , t_j_end_copy = 0.000147 , t_a_end_copy = 0.000207
n_element = 30836 , t_a_compute = 0.000116 seconds, bandwidth = 266.332700 GBytes/s, performance = 191.759544 GFlop/s, t_j_init = 0.000086 , t_j_init_copy = 0.000129 , t_a_init_copy = 0.000225 , t_j_end_copy = 0.000156 , t_a_end_copy = 0.000218
n_element = 33919 , t_a_compute = 0.000157 seconds, bandwidth = 216.498267 GBytes/s, performance = 155.878752 GFlop/s, t_j_init = 0.000091 , t_j_init_copy = 0.000141 , t_a_init_copy = 0.000265 , t_j_end_copy = 0.000188 , t_a_end_copy = 0.000257
n_element = 37310 , t_a_compute = 0.000161 seconds, bandwidth = 231.792399 GBytes/s, performance = 166.890528 GFlop/s, t_j_init = 0.000102 , t_j_init_copy = 0.000148 , t_a_init_copy = 0.000265 , t_j_end_copy = 0.000174 , t_a_end_copy = 0.000252
n_element = 41041 , t_a_compute = 0.000215 seconds, bandwidth = 190.487020 GBytes/s, performance = 137.150655 GFlop/s, t_j_init = 0.000107 , t_j_init_copy = 0.000159 , t_a_init_copy = 0.000284 , t_j_end_copy = 0.000188 , t_a_end_copy = 0.000272
n_element = 45145 , t_a_compute = 0.000237 seconds, bandwidth = 190.399271 GBytes/s, performance = 137.087475 GFlop/s, t_j_init = 0.000125 , t_j_init_copy = 0.000171 , t_a_init_copy = 0.000305 , t_j_end_copy = 0.000201 , t_a_end_copy = 0.000304
n_element = 49659 , t_a_compute = 0.000261 seconds, bandwidth = 190.202424 GBytes/s, performance = 136.945746 GFlop/s, t_j_init = 0.000136 , t_j_init_copy = 0.000185 , t_a_init_copy = 0.000330 , t_j_end_copy = 0.000209 , t_a_end_copy = 0.000316
n_element = 54624 , t_a_compute = 0.000326 seconds, bandwidth = 167.332435 GBytes/s, performance = 120.479353 GFlop/s, t_j_init = 0.000135 , t_j_init_copy = 0.000203 , t_a_init_copy = 0.000365 , t_j_end_copy = 0.000223 , t_a_end_copy = 0.000340
n_element = 60086 , t_a_compute = 0.000315 seconds, bandwidth = 190.816446 GBytes/s, performance = 137.387841 GFlop/s, t_j_init = 0.000161 , t_j_init_copy = 0.000218 , t_a_init_copy = 0.000386 , t_j_end_copy = 0.000242 , t_a_end_copy = 0.000365
n_element = 66094 , t_a_compute = 0.000331 seconds, bandwidth = 199.473656 GBytes/s, performance = 143.621032 GFlop/s, t_j_init = 0.000178 , t_j_init_copy = 0.000233 , t_a_init_copy = 0.000408 , t_j_end_copy = 0.000254 , t_a_end_copy = 0.000397
n_element = 72703 , t_a_compute = 0.000353 seconds, bandwidth = 205.976179 GBytes/s, performance = 148.302849 GFlop/s, t_j_init = 0.000221 , t_j_init_copy = 0.000256 , t_a_init_copy = 0.000444 , t_j_end_copy = 0.000272 , t_a_end_copy = 0.000427
