n_element = 1000 , t_a_compute = 0.000101 seconds, bandwidth = 9.915421 GBytes/s, performance = 7.139103 GFlop/s, t_j_init = 0.000001 , t_j_init_copy = 0.000016 , t_a_init_copy = 0.000020 , t_j_end_copy = 0.000026 , t_a_end_copy = 0.000020
n_element = 1100 , t_a_compute = 0.000083 seconds, bandwidth = 13.190872 GBytes/s, performance = 9.497428 GFlop/s, t_j_init = 0.000001 , t_j_init_copy = 0.000012 , t_a_init_copy = 0.000016 , t_j_end_copy = 0.000012 , t_a_end_copy = 0.000016
n_element = 1210 , t_a_compute = 0.000082 seconds, bandwidth = 14.797241 GBytes/s, performance = 10.654014 GFlop/s, t_j_init = 0.000002 , t_j_init_copy = 0.000012 , t_a_init_copy = 0.000015 , t_j_end_copy = 0.000013 , t_a_end_copy = 0.000018
n_element = 1331 , t_a_compute = 0.000082 seconds, bandwidth = 16.162720 GBytes/s, performance = 11.637158 GFlop/s, t_j_init = 0.000002 , t_j_init_copy = 0.000013 , t_a_init_copy = 0.000016 , t_j_end_copy = 0.000013 , t_a_end_copy = 0.000019
n_element = 1464 , t_a_compute = 0.000082 seconds, bandwidth = 17.849087 GBytes/s, performance = 12.851343 GFlop/s, t_j_init = 0.000002 , t_j_init_copy = 0.000014 , t_a_init_copy = 0.000017 , t_j_end_copy = 0.000014 , t_a_end_copy = 0.000020
n_element = 1610 , t_a_compute = 0.000083 seconds, bandwidth = 19.359338 GBytes/s, performance = 13.938723 GFlop/s, t_j_init = 0.000002 , t_j_init_copy = 0.000015 , t_a_init_copy = 0.000017 , t_j_end_copy = 0.000015 , t_a_end_copy = 0.000021
n_element = 1771 , t_a_compute = 0.000083 seconds, bandwidth = 21.327071 GBytes/s, performance = 15.355491 GFlop/s, t_j_init = 0.000002 , t_j_init_copy = 0.000016 , t_a_init_copy = 0.000018 , t_j_end_copy = 0.000015 , t_a_end_copy = 0.000023
n_element = 1948 , t_a_compute = 0.000082 seconds, bandwidth = 23.686194 GBytes/s, performance = 17.054060 GFlop/s, t_j_init = 0.000003 , t_j_init_copy = 0.000014 , t_a_init_copy = 0.000020 , t_j_end_copy = 0.000016 , t_a_end_copy = 0.000025
n_element = 2142 , t_a_compute = 0.000095 seconds, bandwidth = 22.659233 GBytes/s, performance = 16.314648 GFlop/s, t_j_init = 0.000003 , t_j_init_copy = 0.000015 , t_a_init_copy = 0.000020 , t_j_end_copy = 0.000018 , t_a_end_copy = 0.000026
n_element = 2356 , t_a_compute = 0.000101 seconds, bandwidth = 23.237235 GBytes/s, performance = 16.730809 GFlop/s, t_j_init = 0.000003 , t_j_init_copy = 0.000016 , t_a_init_copy = 0.000022 , t_j_end_copy = 0.000019 , t_a_end_copy = 0.000028
n_element = 2591 , t_a_compute = 0.000101 seconds, bandwidth = 25.749068 GBytes/s, performance = 18.539329 GFlop/s, t_j_init = 0.000004 , t_j_init_copy = 0.000016 , t_a_init_copy = 0.000023 , t_j_end_copy = 0.000020 , t_a_end_copy = 0.000031
n_element = 2850 , t_a_compute = 0.000102 seconds, bandwidth = 27.980953 GBytes/s, performance = 20.146286 GFlop/s, t_j_init = 0.000004 , t_j_init_copy = 0.000017 , t_a_init_copy = 0.000026 , t_j_end_copy = 0.000022 , t_a_end_copy = 0.000033
n_element = 3135 , t_a_compute = 0.000102 seconds, bandwidth = 30.615832 GBytes/s, performance = 22.043399 GFlop/s, t_j_init = 0.000004 , t_j_init_copy = 0.000019 , t_a_init_copy = 0.000035 , t_j_end_copy = 0.000023 , t_a_end_copy = 0.000036
n_element = 3448 , t_a_compute = 0.000103 seconds, bandwidth = 33.423484 GBytes/s, performance = 24.064908 GFlop/s, t_j_init = 0.000005 , t_j_init_copy = 0.000020 , t_a_init_copy = 0.000030 , t_j_end_copy = 0.000025 , t_a_end_copy = 0.000039
n_element = 3792 , t_a_compute = 0.000103 seconds, bandwidth = 36.778042 GBytes/s, performance = 26.480190 GFlop/s, t_j_init = 0.000006 , t_j_init_copy = 0.000021 , t_a_init_copy = 0.000032 , t_j_end_copy = 0.000027 , t_a_end_copy = 0.000041
n_element = 4171 , t_a_compute = 0.000111 seconds, bandwidth = 37.730217 GBytes/s, performance = 27.165756 GFlop/s, t_j_init = 0.000006 , t_j_init_copy = 0.000023 , t_a_init_copy = 0.000034 , t_j_end_copy = 0.000029 , t_a_end_copy = 0.000045
n_element = 4588 , t_a_compute = 0.000120 seconds, bandwidth = 38.155433 GBytes/s, performance = 27.471912 GFlop/s, t_j_init = 0.000006 , t_j_init_copy = 0.000024 , t_a_init_copy = 0.000037 , t_j_end_copy = 0.000031 , t_a_end_copy = 0.000050
n_element = 5046 , t_a_compute = 0.000121 seconds, bandwidth = 41.566101 GBytes/s, performance = 29.927593 GFlop/s, t_j_init = 0.000007 , t_j_init_copy = 0.000028 , t_a_init_copy = 0.000042 , t_j_end_copy = 0.000034 , t_a_end_copy = 0.000053
n_element = 5550 , t_a_compute = 0.000123 seconds, bandwidth = 45.083099 GBytes/s, performance = 32.459831 GFlop/s, t_j_init = 0.000008 , t_j_init_copy = 0.000030 , t_a_init_copy = 0.000045 , t_j_end_copy = 0.000037 , t_a_end_copy = 0.000059
