n_element = 1000 , t_a_compute = 0.000087 seconds, bandwidth = 11.547878 GBytes/s, performance = 8.314472 GFlop/s, t_j_init = 0.000003 , t_j_init_copy = 0.000017 , t_a_init_copy = 0.000021 , t_j_end_copy = 0.000020 , t_a_end_copy = 0.000016
n_element = 1100 , t_a_compute = 0.000068 seconds, bandwidth = 16.155563 GBytes/s, performance = 11.632006 GFlop/s, t_j_init = 0.000003 , t_j_init_copy = 0.000013 , t_a_init_copy = 0.000016 , t_j_end_copy = 0.000012 , t_a_end_copy = 0.000017
n_element = 1210 , t_a_compute = 0.000068 seconds, bandwidth = 17.918228 GBytes/s, performance = 12.901124 GFlop/s, t_j_init = 0.000003 , t_j_init_copy = 0.000013 , t_a_init_copy = 0.000015 , t_j_end_copy = 0.000012 , t_a_end_copy = 0.000024
n_element = 1331 , t_a_compute = 0.000068 seconds, bandwidth = 19.576120 GBytes/s, performance = 14.094807 GFlop/s, t_j_init = 0.000005 , t_j_init_copy = 0.000013 , t_a_init_copy = 0.000015 , t_j_end_copy = 0.000014 , t_a_end_copy = 0.000019
n_element = 1464 , t_a_compute = 0.000067 seconds, bandwidth = 21.765633 GBytes/s, performance = 15.671256 GFlop/s, t_j_init = 0.000004 , t_j_init_copy = 0.000015 , t_a_init_copy = 0.000016 , t_j_end_copy = 0.000014 , t_a_end_copy = 0.000020
n_element = 1610 , t_a_compute = 0.000067 seconds, bandwidth = 24.027340 GBytes/s, performance = 17.299685 GFlop/s, t_j_init = 0.000004 , t_j_init_copy = 0.000016 , t_a_init_copy = 0.000017 , t_j_end_copy = 0.000015 , t_a_end_copy = 0.000021
n_element = 1771 , t_a_compute = 0.000068 seconds, bandwidth = 26.016189 GBytes/s, performance = 18.731656 GFlop/s, t_j_init = 0.000005 , t_j_init_copy = 0.000395 , t_a_init_copy = 0.000019 , t_j_end_copy = 0.000017 , t_a_end_copy = 0.000023
n_element = 1948 , t_a_compute = 0.000066 seconds, bandwidth = 29.627827 GBytes/s, performance = 21.332035 GFlop/s, t_j_init = 0.000005 , t_j_init_copy = 0.000014 , t_a_init_copy = 0.000019 , t_j_end_copy = 0.000017 , t_a_end_copy = 0.000024
n_element = 2142 , t_a_compute = 0.000066 seconds, bandwidth = 32.551707 GBytes/s, performance = 23.437229 GFlop/s, t_j_init = 0.000005 , t_j_init_copy = 0.000015 , t_a_init_copy = 0.000020 , t_j_end_copy = 0.000017 , t_a_end_copy = 0.000027
n_element = 2356 , t_a_compute = 0.000066 seconds, bandwidth = 35.495292 GBytes/s, performance = 25.556610 GFlop/s, t_j_init = 0.000006 , t_j_init_copy = 0.000016 , t_a_init_copy = 0.000022 , t_j_end_copy = 0.000019 , t_a_end_copy = 0.000030
n_element = 2591 , t_a_compute = 0.000066 seconds, bandwidth = 39.105892 GBytes/s, performance = 28.156242 GFlop/s, t_j_init = 0.000007 , t_j_init_copy = 0.000016 , t_a_init_copy = 0.000024 , t_j_end_copy = 0.000020 , t_a_end_copy = 0.000032
n_element = 2850 , t_a_compute = 0.000067 seconds, bandwidth = 42.406928 GBytes/s, performance = 30.532988 GFlop/s, t_j_init = 0.000009 , t_j_init_copy = 0.000017 , t_a_init_copy = 0.000026 , t_j_end_copy = 0.000022 , t_a_end_copy = 0.000035
n_element = 3135 , t_a_compute = 0.000067 seconds, bandwidth = 46.797331 GBytes/s, performance = 33.694078 GFlop/s, t_j_init = 0.000008 , t_j_init_copy = 0.000018 , t_a_init_copy = 0.000028 , t_j_end_copy = 0.000023 , t_a_end_copy = 0.000037
n_element = 3448 , t_a_compute = 0.000067 seconds, bandwidth = 51.716638 GBytes/s, performance = 37.235980 GFlop/s, t_j_init = 0.000009 , t_j_init_copy = 0.000020 , t_a_init_copy = 0.000030 , t_j_end_copy = 0.000024 , t_a_end_copy = 0.000039
n_element = 3792 , t_a_compute = 0.000067 seconds, bandwidth = 56.641821 GBytes/s, performance = 40.782111 GFlop/s, t_j_init = 0.000008 , t_j_init_copy = 0.000021 , t_a_init_copy = 0.000033 , t_j_end_copy = 0.000027 , t_a_end_copy = 0.000042
n_element = 4171 , t_a_compute = 0.000105 seconds, bandwidth = 39.568925 GBytes/s, performance = 28.489626 GFlop/s, t_j_init = 0.000011 , t_j_init_copy = 0.000023 , t_a_init_copy = 0.000035 , t_j_end_copy = 0.000030 , t_a_end_copy = 0.000047
n_element = 4588 , t_a_compute = 0.000072 seconds, bandwidth = 63.699220 GBytes/s, performance = 45.863438 GFlop/s, t_j_init = 0.000012 , t_j_init_copy = 0.000024 , t_a_init_copy = 0.000038 , t_j_end_copy = 0.000032 , t_a_end_copy = 0.000050
n_element = 5046 , t_a_compute = 0.000445 seconds, bandwidth = 11.337109 GBytes/s, performance = 8.162719 GFlop/s, t_j_init = 0.000013 , t_j_init_copy = 0.000028 , t_a_init_copy = 0.000041 , t_j_end_copy = 0.000034 , t_a_end_copy = 0.000054
n_element = 5550 , t_a_compute = 0.000351 seconds, bandwidth = 15.799227 GBytes/s, performance = 11.375444 GFlop/s, t_j_init = 0.000014 , t_j_init_copy = 0.000030 , t_a_init_copy = 0.000045 , t_j_end_copy = 0.000037 , t_a_end_copy = 0.000059
n_element = 6105 , t_a_compute = 0.000076 seconds, bandwidth = 80.399826 GBytes/s, performance = 57.887875 GFlop/s, t_j_init = 0.000016 , t_j_init_copy = 0.000032 , t_a_init_copy = 0.000049 , t_j_end_copy = 0.000040 , t_a_end_copy = 0.000064
n_element = 6715 , t_a_compute = 0.000080 seconds, bandwidth = 83.488748 GBytes/s, performance = 60.111899 GFlop/s, t_j_init = 0.000017 , t_j_init_copy = 0.000034 , t_a_init_copy = 0.000053 , t_j_end_copy = 0.000044 , t_a_end_copy = 0.000071
